Daily Maximum data	   supplied by UK-air on 07/09/2018
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London Bloomsbury",,,,,,,,,,,,,,,,,,,,,,,
Date,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status
2012-02-24,32,V ugm-3,67,V ugm-3,84,V ugm-3,184,V ugm-3,11,V ugm-3,0.35,V mgm-3,23,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-02-25,48,V ugm-3,82,V ugm-3,98,V ugm-3,208,V ugm-3,8,V ugm-3,0.35,V mgm-3,27,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS)
2012-02-26,36,V ugm-3,56,V ugm-3,90,V ugm-3,176,V ugm-3,8,V ugm-3,0.35,V mgm-3,29,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-02-27,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2012-02-28,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2012-02-29,48,V ugm-3,20,V ugm-3,59,V ugm-3,84,V ugm-3,5,V ugm-3,0.23,V mgm-3,42,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),40,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS)
2012-03-01,18,V ugm-3,126,V ugm-3,126,V ugm-3,308,V ugm-3,8,V ugm-3,0.58,V mgm-3,73,V ugm-3 (TEOM FDMS),55,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),60,V ugm-3 (TEOM FDMS),44,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS)
2012-03-02,8,V ugm-3,86,V ugm-3,92,V ugm-3,224,V ugm-3,16,V ugm-3,0.35,V mgm-3,85,V ugm-3 (TEOM FDMS),66,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),75,V ugm-3 (TEOM FDMS),56,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS)
2012-03-03,72,V ugm-3,37,V ugm-3,75,V ugm-3,113,V ugm-3,5,V ugm-3,0.35,V mgm-3,66,V ugm-3 (TEOM FDMS),50,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),64,V ugm-3 (TEOM FDMS),49,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS)
2012-03-04,48,V ugm-3,80,V ugm-3,82,V ugm-3,205,V ugm-3,5,V ugm-3,0.23,V mgm-3,38,V ugm-3 (TEOM FDMS),36,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-03-05,58,V ugm-3,86,V ugm-3,86,V ugm-3,218,V ugm-3,8,V ugm-3,0.23,V mgm-3,30,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2012-03-06,46,V ugm-3,97,V ugm-3,90,V ugm-3,239,V ugm-3,8,V ugm-3,0.47,V mgm-3,30,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),31,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-03-07,54,V ugm-3,117,V ugm-3,101,V ugm-3,281,V ugm-3,8,V ugm-3,0.35,V mgm-3,23,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-03-08,44,V ugm-3,82,V ugm-3,96,V ugm-3,208,V ugm-3,19,V ugm-3,0.47,V mgm-3,30,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
