Daily Maximum data	   supplied by UK-air on 07/09/2018
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London N. Kensington",,,,,,,,,,,,,,,,,,,,,,,
Date,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status
2012-02-18,70,V ugm-3,14,V ugm-3,75,V ugm-3,96,V ugm-3,3,V ugm-3,0.35,V mgm-3,59,V ugm-3 (TEOM FDMS),51,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),28,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-02-19,70,V ugm-3,99,V ugm-3,96,V ugm-3,243,V ugm-3,5,V ugm-3,0.81,V mgm-3,38,V ugm-3 (TEOM FDMS),35,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),31,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-02-20,60,V ugm-3,126,V ugm-3,98,V ugm-3,289,V ugm-3,5,V ugm-3,0.81,V mgm-3,45,V ugm-3 (TEOM FDMS),39,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),31,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-02-21,62,V ugm-3,17,V ugm-3,67,V ugm-3,94,V ugm-3,3,V ugm-3,0.35,V mgm-3,25,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2012-02-22,60,V ugm-3,7,V ugm-3,46,V ugm-3,55,V ugm-3,3,V ugm-3,0.35,V mgm-3,27,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-02-23,38,V ugm-3,27,V ugm-3,63,V ugm-3,86,V ugm-3,11,V ugm-3,0.35,V mgm-3,23,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS)
2012-02-24,44,V ugm-3,9,V ugm-3,55,V ugm-3,65,V ugm-3,5,V ugm-3,0.47,V mgm-3,23,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS)
2012-02-25,70,V ugm-3,44,V ugm-3,86,V ugm-3,153,V ugm-3,5,V ugm-3,0.58,V mgm-3,39,V ugm-3 (TEOM FDMS),33,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-02-26,52,V ugm-3,54,V ugm-3,92,V ugm-3,145,V ugm-3,5,V ugm-3,0.7,V mgm-3,40,V ugm-3 (TEOM FDMS),31,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-02-27,48,V ugm-3,17,V ugm-3,59,V ugm-3,78,V ugm-3,3,V ugm-3,0.47,V mgm-3,33,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS)
2012-02-28,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),38,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS)
2012-02-29,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V mgm-3,68,V ugm-3 (TEOM FDMS),60,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),42,V ugm-3 (TEOM FDMS),32,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS)
2012-03-01,24,V ugm-3,155,V ugm-3,105,V ugm-3,308,V ugm-3,5,V ugm-3,0.81,V mgm-3,77,V ugm-3 (TEOM FDMS),56,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),63,V ugm-3 (TEOM FDMS),45,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS)
2012-03-02,14,V ugm-3,89,V ugm-3,90,V ugm-3,226,V ugm-3,16,V ugm-3,0.58,V mgm-3,85,V ugm-3 (TEOM FDMS),63,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),74,V ugm-3 (TEOM FDMS),53,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS)
2012-03-03,80,V ugm-3,36,V ugm-3,55,V ugm-3,109,V ugm-3,5,V ugm-3,0.47,V mgm-3,73,V ugm-3 (TEOM FDMS),54,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),63,V ugm-3 (TEOM FDMS),48,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS)
2012-03-04,68,V ugm-3,4,V ugm-3,36,V ugm-3,40,V ugm-3,0,V ugm-3,0.35,V mgm-3,33,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-03-05,68,V ugm-3,6,V ugm-3,36,V ugm-3,42,V ugm-3,5,V ugm-3,0.23,V mgm-3,19,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2012-03-06,58,V ugm-3,35,V ugm-3,98,V ugm-3,151,V ugm-3,3,V ugm-3,0.58,V mgm-3,31,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
