Site,Borough, Easting,Northing,GridRef,Lat,Lon
Hewison Street,Tower Hamlets,536872.37,183433.39,TQ3687283433,51.533219,-0.028071646
Shadwell Station,Tower Hamlets,534920.71,180918.53,TQ3492080918,51.511088,-0.057158802
Ebury Bridge,Westminster,528590.41,178457.42,TQ2859078457,51.490447,-0.14921956
York Hall,Tower Hamlets,534955.3,182905.28,TQ3495582905,51.528936,-0.055894485
Bethnal Green Garden,Tower Hamlets,535005.89,182544.84,TQ3500582544,51.52568,-0.055312372
Cheshire Street,Tower Hamlets,534333.3,182326.67,TQ3433382326,51.523881,-0.065076264
South Parade,K&C,526800.93,178262.77,TQ2680078262,51.489098,-0.17505801
Parkway,Camden,528772.12,183761.24,TQ2877283761,51.538071,-0.14466381
Killick Street,Islington,530584.6,183334.17,TQ3058483334,51.533818,-0.11871034
Crinan Street,Islington,530340.56,183401.79,TQ3034083401,51.534476,-0.12220137
Kennington Oval,Lambeth,531116.47,177709.78,TQ3111677709,51.483145,-0.11313434
Sail Street,Lambeth,531008.56,179109.6,TQ3100879109,51.495751,-0.11416971
Malet Street,Camden,529804.55,181963.45,TQ2980481963,51.521677,-0.13045422
Hop Exchange (Extension),Southwark,532535.83,180136.32,TQ3253580136,51.504625,-0.09180025
Vaughan Way (Ext),Tower Hamlets,534231.65,180605.6,TQ3423180605,51.508439,-0.067200435
Brushfield Street (Ext),Tower Hamlets,533380.93,181755.97,TQ3338081755,51.518975,-0.079020705
Exhibition Road,Westminster,526805.17,179466.17,TQ2680579466,51.499917,-0.17455383
Exhibition Road Museums,K&C,526858.95,179138.76,TQ2685879138,51.496957,-0.17390851
Bethnal Green Road (Ext),Tower Hamlets,533661.28,182282.38,TQ3366182282,51.523645,-0.074773457
Cloudesley Road (Extension),Islington,531258,183427,TQ3125883427,51.534497,-0.10896404
Eaton Square (South),Westminster,528249.46,178906.15,TQ2824978906,51.494559,-0.15396549
Royal London Hospital (Ext),Tower Hamlets,534723.17,181800.37,TQ3472381800,51.519061,-0.059659078
Leman Street (Ext),Tower Hamlets,534056,181037.08,TQ3405681037,51.512363,-0.069556445
Cheapside,City,532427,181173,TQ3242781173,51.513969,-0.092966307
Vincent Street,Westminster,529922.43,178783.15,TQ2992278783,51.493072,-0.12992488
Southwark Station,Southwark,531598,180046,TQ3159880046,51.504035,-0.10532632
Great Marlborough Street 2,Westminster,529310.5,181165.15,TQ2931081165,51.514618,-0.13786299
Harrington Square 2,Camden,529165.96,183208.85,TQ2916583208,51.533011,-0.13920315
Soho Square (Extension),Westminster,529690.11,181287.38,TQ2969081287,51.515628,-0.13234497
Chelsea Bridge,Westminster,528618,177943,TQ2861877943,51.485821,-0.14900357
Cardinal Place,Westminster,529073.67,179274.63,TQ2907379274,51.497679,-0.14196798
Kennington Lane Rail Bridge (Extension),Lambeth,530456.13,178047.92,TQ3045678047,51.486335,-0.12250903
Bankside Mix (Extension),Southwark,531948.57,180253.48,TQ3194880253,51.505813,-0.10020913
Shoreditch High Street (Extension),Hackney,533419.11,182579.78,TQ3341982579,51.526371,-0.07814721
Leonard Circus (Extension),Hackney,532986.42,182381.31,TQ3298682381,51.524693,-0.084459859
Strata,Southwark,532011,178845,TQ3201178845,51.493146,-0.099828272
Walworth Road,Southwark,532018,178870,TQ3201878870,51.493369,-0.099718157
Nesham Street,Tower Hamlets,534249.54,180457.25,TQ3424980457,51.507105,-0.066997516
Paddington Green Police Station,Westminster,527015.52,181699.61,TQ2701581699,51.519938,-0.17072645
Chancery Lane,Westminster,531156.89,181174.2,TQ3115681174,51.514274,-0.11127176
Palissy Street,Tower Hamlets,533710,182585,TQ3371082585,51.526356,-0.073952692
Cleaver Street,Lambeth,531311,178266,TQ3131178266,51.488105,-0.11012076
Edgware Road Station,Westminster,527088.93,181705.26,TQ2708881705,51.519975,-0.16967272
Shouldham Street,Westminster,527517.95,181501.24,TQ2751781501,51.518045,-0.1635667
Hereford Road,Westminster,525453.37,180970.67,TQ2545380970,51.513735,-0.19348667
Sedding Street,K&C,528051.65,178742.1,TQ2805178742,51.49313,-0.15687554
Waterloo Road,Lambeth,531063,180124,TQ3106380124,51.50486,-0.11300115
Strand,Westminster,530892.12,180973.29,TQ3089280973,51.512529,-0.11514867
Aberdeen Place,Westminster,526598.68,182219.16,TQ2659882219,51.524704,-0.17654673
George Street,Westminster,528172.69,181479.34,TQ2817281479,51.517699,-0.15413982
Columbia Road,Tower Hamlets,533605.5,182785.36,TQ3360582785,51.528178,-0.075389567
Clifton Street,Hackney,533087,182217,TQ3308782217,51.523196,-0.083066761
Devonshire Terrace,Westminster,526404.29,180965.76,TQ2640480965,51.513478,-0.17979099
Clifford Street,Westminster,529009.14,180717.07,TQ2900980717,51.510661,-0.14236214
Cadogan Gardens,K&C,527841.18,178665.8,TQ2784178665,51.492485,-0.15992668
Brick Lane Market,Tower Hamlets,533879.41,182173.46,TQ3387982173,51.522613,-0.07167445
Buxton Street,Tower Hamlets,534077.97,182085.39,TQ3407782085,51.521776,-0.068855696
Imperial College,Westminster,526447.9,179402.68,TQ2644779402,51.499422,-0.17973153
Holland Walk,K&C,524978.88,179692.46,TQ2497879692,51.502355,-0.20078078
Snow Hill,City,531678.31,181527.82,TQ3167881527,51.517325,-0.10362176
Charlotte Street,Camden,529439.8,181714.86,TQ2943981714,51.519523,-0.13580356
Stanhope Gate,Westminster,528442.28,180281,TQ2844280281,51.506872,-0.15068673
Moor Street,Westminster,529849.98,181057.35,TQ2984981057,51.513524,-0.13013947
Frith Street,Westminster,529774.65,181008.22,TQ2977481008,51.513101,-0.1312377
Rathbone Street,Westminster,529495.82,181564.12,TQ2949581564,51.518162,-0.13505196
Upper Grosvenor Street,Westminster,528079.77,180634.27,TQ2807980634,51.510127,-0.15578615
Farm Street,Westminster,528659.11,180562.07,TQ2865980562,51.509348,-0.14745933
Southampton Street,Westminster,530439.87,180758.83,TQ3043980758,51.510702,-0.12175241
Marloes Road,K&C,525581.65,179135.84,TQ2558179135,51.497215,-0.19229581
Fire Brigade Pier,Lambeth,530502.27,178847.18,TQ3050278847,51.493514,-0.12155142
Paddington Green,Westminster,526746.15,181722.87,TQ2674681722,51.520205,-0.17459317
Waterloo Bridge,Lambeth,531015.1,180177.78,TQ3101580177,51.505347,-0.11367267
Prince Consort Road,Westminster,526675.07,179450.83,TQ2667579450,51.499802,-0.17643142
Millbank Tower,Westminster,530219.45,178658.48,TQ3021978658,51.49188,-0.12569526
Greycoat Street,Westminster,529617.55,178944.29,TQ2961778944,51.494589,-0.13425668
Kensington Town Hall,K&C,525421.46,179657.41,TQ2542179657,51.501942,-0.19441412
King Edward Walk,Lambeth,531299.85,179339.15,TQ3129979339,51.497751,-0.10989469
Sardinia Street,Camden,530681.8,181260.3,TQ3068181260,51.515157,-0.11808127
Harriet Street,K&C,527864.13,179533.78,TQ2786479533,51.500281,-0.15928133
Harrowby Street,Westminster,527463.89,181423.65,TQ2746381423,51.517356,-0.16437272
Waterloo Station,Lambeth,531040.64,180023.88,TQ3104080023,51.503958,-0.11336984
Alfred Place,Camden,529680.14,181734.92,TQ2968081734,51.519647,-0.13232468
Millennium Hotel,Westminster,528391.39,180732.22,TQ2839180732,51.510937,-0.15125712
Royal College Street,Camden,529521,183579.08,TQ2952183579,51.536264,-0.13393722
City Road ,Islington,531880.29,182981.45,TQ3188082981,51.530344,-0.10016845
High Holborn,Camden,530242.65,181390.92,TQ3024281390,51.516427,-0.12435628
Lord's,Westminster,526944.46,182707.83,TQ2694482707,51.529012,-0.17138635
Northumberland Avenue,Westminster,530288.49,180330.72,TQ3028880330,51.50689,-0.12408507
Butler Place,Westminster,529531.23,179314,TQ2953179314,51.497934,-0.13535912
Howland Street,Camden,529212.83,181872.49,TQ2921281872,51.520994,-0.13901554
South Kensington Station,K&C,526871.13,178855.66,TQ2687178855,51.494411,-0.17382299
Oval Way,Lambeth,530818.29,178083.32,TQ3081878083,51.486575,-0.11728504
Macclesfield Road,Islington,532093.01,182886.94,TQ3209382886,51.529441,-0.097135189
Vauxhall Street,Lambeth,530854.05,178153.98,TQ3085478153,51.487196,-0.11674094
Queen's Gate,Royal Parks,526435.48,179658.22,TQ2643579658,51.501725,-0.17981265
Crosswall,City,533532.34,180937.71,TQ3353280937,51.511588,-0.077140892
Grosvenor Square,Westminster,528440.37,180870.5,TQ2844080870,51.512166,-0.15050119
Lower Marsh,Lambeth,531010.65,179597.35,TQ3101079597,51.500136,-0.11395989
Horse Guards Avenue,Westminster,530350.66,180115.2,TQ3035080115,51.504944,-0.12327163
Ampton Street,Camden,530630.49,182607.79,TQ3063082607,51.527274,-0.11831693
Southampton Place,Camden,530447.71,181526.59,TQ3044781526,51.517602,-0.12135326
Queen Victoria Street,City,532121.28,180941.66,TQ3212180941,51.511956,-0.097460371
Bank of England Museum,City,532797.84,181235.22,TQ3279781235,51.514439,-0.087614034
Warwick Road,K&C,524679.82,179056.82,TQ2467979056,51.496705,-0.20531086
Finsbury Square,Islington,532914.39,181963.95,TQ3291481963,51.520954,-0.085654625
Campden Hill Road,K&C,525088.74,180165.36,TQ2508880165,51.506581,-0.19902921
Pont Street,K&C,527739.05,179152.13,TQ2773979152,51.496885,-0.16121899
Empire Square,Southwark,532687.96,179716.97,TQ3268779716,51.500815,-0.089769352
Albert Embankment,Lambeth,530422.63,178502.44,TQ3042278502,51.490432,-0.12283049
Baker Street,Westminster,528026.98,181610.41,TQ2802681610,51.51891,-0.1561953
