Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,CO,14/12/2012 00:00,,mg m-3,R
BL0,CO,15/12/2012 00:00,,mg m-3,R
BL0,CO,16/12/2012 00:00,,mg m-3,R
BL0,CO,17/12/2012 00:00,,mg m-3,R
BL0,CO,18/12/2012 00:00,,mg m-3,R
BL0,CO,19/12/2012 00:00,,mg m-3,R
BL0,CO,20/12/2012 00:00,,mg m-3,R
BL0,CO,21/12/2012 00:00,,mg m-3,R
BL0,CO,22/12/2012 00:00,,mg m-3,R
BL0,CO,23/12/2012 00:00,,mg m-3,R
BL0,CO,24/12/2012 00:00,,mg m-3,R
BL0,CO,25/12/2012 00:00,,mg m-3,R
BL0,CO,26/12/2012 00:00,,mg m-3,R
BL0,CO,27/12/2012 00:00,,mg m-3,R
BL0,CO,28/12/2012 00:00,,mg m-3,R
BL0,CO,29/12/2012 00:00,,mg m-3,R
BL0,CO,30/12/2012 00:00,,mg m-3,R
BL0,CO,31/12/2012 00:00,,mg m-3,R
BL0,CO,01/01/2013 00:00,,mg m-3,R
BL0,CO,02/01/2013 00:00,,mg m-3,R
BL0,CO,03/01/2013 00:00,,mg m-3,R
BL0,CO,04/01/2013 00:00,,mg m-3,R
BL0,CO,05/01/2013 00:00,,mg m-3,R
BL0,CO,06/01/2013 00:00,,mg m-3,R
BL0,CO,07/01/2013 00:00,,mg m-3,R
BL0,CO,08/01/2013 00:00,,mg m-3,R
BL0,CO,09/01/2013 00:00,,mg m-3,R
BL0,CO,10/01/2013 00:00,,mg m-3,R
BL0,CO,11/01/2013 00:00,,mg m-3,R
BL0,CO,12/01/2013 00:00,,mg m-3,R
BL0,CO,13/01/2013 00:00,,mg m-3,R
BL0,CO,14/01/2013 00:00,,mg m-3,R
BL0,CO,15/01/2013 00:00,,mg m-3,R
BL0,CO,16/01/2013 00:00,,mg m-3,R
BL0,CO,17/01/2013 00:00,,mg m-3,R
BL0,CO,18/01/2013 00:00,,mg m-3,R
BL0,CO,19/01/2013 00:00,,mg m-3,R
BL0,CO,20/01/2013 00:00,,mg m-3,R
BL0,CO,21/01/2013 00:00,,mg m-3,R
BL0,CO,22/01/2013 00:00,,mg m-3,R
BL0,CO,23/01/2013 00:00,,mg m-3,R
BL0,CO,24/01/2013 00:00,,mg m-3,R
BL0,CO,25/01/2013 00:00,,mg m-3,R
BL0,CO,26/01/2013 00:00,,mg m-3,R
BL0,CO,27/01/2013 00:00,,mg m-3,R
BL0,CO,28/01/2013 00:00,,mg m-3,R
BL0,CO,29/01/2013 00:00,,mg m-3,R
BL0,CO,30/01/2013 00:00,,mg m-3,R
BL0,CO,31/01/2013 00:00,,mg m-3,R
BL0,CO,01/02/2013 00:00,,mg m-3,R
BL0,CO,02/02/2013 00:00,,mg m-3,R
BL0,CO,03/02/2013 00:00,,mg m-3,R
BL0,CO,04/02/2013 00:00,,mg m-3,R
BL0,CO,05/02/2013 00:00,,mg m-3,R
BL0,CO,06/02/2013 00:00,,mg m-3,R
BL0,CO,07/02/2013 00:00,,mg m-3,R
BL0,CO,08/02/2013 00:00,,mg m-3,R
BL0,CO,09/02/2013 00:00,,mg m-3,R
BL0,CO,10/02/2013 00:00,,mg m-3,R
BL0,CO,11/02/2013 00:00,,mg m-3,R
BL0,CO,12/02/2013 00:00,,mg m-3,R
BL0,CO,13/02/2013 00:00,,mg m-3,R
BL0,CO,14/02/2013 00:00,,mg m-3,R
BL0,CO,15/02/2013 00:00,,mg m-3,R
BL0,CO,16/02/2013 00:00,,mg m-3,R
BL0,CO,17/02/2013 00:00,,mg m-3,R
BL0,CO,18/02/2013 00:00,,mg m-3,R
BL0,CO,19/02/2013 00:00,,mg m-3,R
BL0,CO,20/02/2013 00:00,,mg m-3,R
BL0,CO,21/02/2013 00:00,,mg m-3,R
BL0,CO,22/02/2013 00:00,,mg m-3,R
BL0,CO,23/02/2013 00:00,,mg m-3,R
BL0,CO,24/02/2013 00:00,,mg m-3,R
BL0,CO,25/02/2013 00:00,,mg m-3,R
BL0,CO,26/02/2013 00:00,,mg m-3,R
BL0,CO,27/02/2013 00:00,,mg m-3,R
BL0,CO,28/02/2013 00:00,,mg m-3,R
BL0,CO,01/03/2013 00:00,,mg m-3,R
BL0,CO,02/03/2013 00:00,,mg m-3,R
