Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
HK6,NO,30/09/2012 00:00,33.3,ug m-3,R
HK6,NO,01/10/2012 00:00,55.4,ug m-3,R
HK6,NO,02/10/2012 00:00,40.7,ug m-3,R
HK6,NO,03/10/2012 00:00,59.8,ug m-3,R
HK6,NO,04/10/2012 00:00,82.2,ug m-3,R
HK6,NO,05/10/2012 00:00,81.5,ug m-3,R
HK6,NO,06/10/2012 00:00,52.7,ug m-3,R
HK6,NO,07/10/2012 00:00,65.5,ug m-3,R
HK6,NO,08/10/2012 00:00,66.1,ug m-3,R
HK6,NO,09/10/2012 00:00,61.6,ug m-3,R
HK6,NO,10/10/2012 00:00,69,ug m-3,R
HK6,NO,11/10/2012 00:00,83.5,ug m-3,R
HK6,NO,12/10/2012 00:00,76.1,ug m-3,R
HK6,NO,13/10/2012 00:00,98,ug m-3,R
HK6,NO,14/10/2012 00:00,83.1,ug m-3,R
HK6,NO,15/10/2012 00:00,74.1,ug m-3,R
HK6,NO,16/10/2012 00:00,46.2,ug m-3,R
HK6,NO,17/10/2012 00:00,37.5,ug m-3,R
HK6,NO,18/10/2012 00:00,39.3,ug m-3,R
HK6,NO,19/10/2012 00:00,83.4,ug m-3,R
HK6,NO,20/10/2012 00:00,89.3,ug m-3,R
HK6,NO,21/10/2012 00:00,28.1,ug m-3,R
HK6,NO,22/10/2012 00:00,74.7,ug m-3,R
HK6,NO,23/10/2012 00:00,45.7,ug m-3,R
HK6,NO,24/10/2012 00:00,81.7,ug m-3,R
HK6,NO,25/10/2012 00:00,48.7,ug m-3,R
HK6,NO,26/10/2012 00:00,26.9,ug m-3,R
HK6,NO,27/10/2012 00:00,22.9,ug m-3,R
HK6,NO,28/10/2012 00:00,50.6,ug m-3,R
HK6,NO,29/10/2012 00:00,92.4,ug m-3,R
HK6,NO,30/10/2012 00:00,109.3,ug m-3,R
HK6,NO,31/10/2012 00:00,34.4,ug m-3,R
HK6,NO,01/11/2012 00:00,62.4,ug m-3,R
HK6,NO,02/11/2012 00:00,65,ug m-3,R
HK6,NO,03/11/2012 00:00,55.8,ug m-3,R
HK6,NO,04/11/2012 00:00,60.8,ug m-3,R
HK6,NO,05/11/2012 00:00,75.5,ug m-3,R
HK6,NO,06/11/2012 00:00,128.60001,ug m-3,R
HK6,NO,07/11/2012 00:00,89.3,ug m-3,R
HK6,NO,08/11/2012 00:00,89.2,ug m-3,R
HK6,NO,09/11/2012 00:00,53.6,ug m-3,R
HK6,NO,10/11/2012 00:00,102.2,ug m-3,R
HK6,NO,11/11/2012 00:00,99.5,ug m-3,R
HK6,NO,12/11/2012 00:00,61.2,ug m-3,R
HK6,NO,13/11/2012 00:00,46.6,ug m-3,R
HK6,NO,14/11/2012 00:00,77.9,ug m-3,R
HK6,NO,15/11/2012 00:00,105.6,ug m-3,R
HK6,NO,16/11/2012 00:00,80.5,ug m-3,R
HK6,NO,17/11/2012 00:00,62.7,ug m-3,R
HK6,NO,18/11/2012 00:00,77,ug m-3,R
HK6,NO,19/11/2012 00:00,43.5,ug m-3,R
HK6,NO,20/11/2012 00:00,28.2,ug m-3,R
HK6,NO,21/11/2012 00:00,62.3,ug m-3,R
HK6,NO,22/11/2012 00:00,28.2,ug m-3,R
HK6,NO,23/11/2012 00:00,68.3,ug m-3,R
HK6,NO,24/11/2012 00:00,110.1,ug m-3,R
HK6,NO,25/11/2012 00:00,25.4,ug m-3,R
HK6,NO,26/11/2012 00:00,87.1,ug m-3,R
HK6,NO,27/11/2012 00:00,44.7,ug m-3,R
HK6,NO,28/11/2012 00:00,26,ug m-3,R
HK6,NO,29/11/2012 00:00,71.6,ug m-3,R
HK6,NO,30/11/2012 00:00,169.3,ug m-3,R
HK6,NO,01/12/2012 00:00,138,ug m-3,R
HK6,NO,02/12/2012 00:00,103.9,ug m-3,R
HK6,NO,03/12/2012 00:00,93.1,ug m-3,R
HK6,NO,04/12/2012 00:00,112.7,ug m-3,R
HK6,NO,05/12/2012 00:00,83.6,ug m-3,R
HK6,NO,06/12/2012 00:00,100.5,ug m-3,R
HK6,NO,07/12/2012 00:00,61,ug m-3,R
HK6,NO,08/12/2012 00:00,86.6,ug m-3,R
HK6,NO,09/12/2012 00:00,48.3,ug m-3,R
HK6,NO,10/12/2012 00:00,34,ug m-3,R
HK6,NO,11/12/2012 00:00,103.1,ug m-3,R
HK6,NO,12/12/2012 00:00,237.8,ug m-3,R
