Date,Start hour,Casual hires at terminal
11/02/2012,11,228
11/02/2012,12,333
11/02/2012,13,442
11/02/2012,14,444
11/02/2012,15,482
11/02/2012,16,394
11/02/2012,17,295
11/02/2012,18,173
11/02/2012,19,91
11/02/2012,20,70
11/02/2012,21,72
11/02/2012,22,56
11/02/2012,23,67
12/02/2012,0,65
12/02/2012,1,61
12/02/2012,2,79
12/02/2012,3,60
12/02/2012,4,29
12/02/2012,5,13
12/02/2012,6,7
12/02/2012,7,24
12/02/2012,8,27
12/02/2012,9,60
12/02/2012,10,133
12/02/2012,11,216
12/02/2012,12,308
12/02/2012,13,336
12/02/2012,14,385
12/02/2012,15,369
12/02/2012,16,311
12/02/2012,17,221
12/02/2012,18,153
12/02/2012,19,113
12/02/2012,20,93
12/02/2012,21,55
12/02/2012,22,71
12/02/2012,23,58
13/02/2012,0,47
13/02/2012,1,44
13/02/2012,2,35
13/02/2012,3,7
13/02/2012,4,8
13/02/2012,5,9
13/02/2012,6,36
13/02/2012,7,75
13/02/2012,8,199
13/02/2012,9,166
13/02/2012,10,126
13/02/2012,11,131
13/02/2012,12,165
13/02/2012,13,156
13/02/2012,14,99
13/02/2012,15,93
13/02/2012,16,108
13/02/2012,17,172
13/02/2012,18,38
13/02/2012,19,23
13/02/2012,20,113
13/02/2012,21,68
13/02/2012,22,62
13/02/2012,23,34
14/02/2012,0,27
14/02/2012,1,20
14/02/2012,2,23
14/02/2012,3,17
14/02/2012,4,10
14/02/2012,5,13
14/02/2012,6,42
14/02/2012,7,87
14/02/2012,8,212
14/02/2012,9,146
14/02/2012,10,101
14/02/2012,11,134
14/02/2012,12,184
14/02/2012,13,208
14/02/2012,14,248
14/02/2012,15,248
14/02/2012,16,256
14/02/2012,17,290
14/02/2012,18,256
14/02/2012,19,190
14/02/2012,20,109
14/02/2012,21,98
14/02/2012,22,97
14/02/2012,23,67
15/02/2012,0,58
15/02/2012,1,52
15/02/2012,2,58
15/02/2012,3,18
15/02/2012,4,19
15/02/2012,5,14
15/02/2012,6,25
15/02/2012,7,100
15/02/2012,8,238
15/02/2012,9,206
15/02/2012,10,144
15/02/2012,11,181
15/02/2012,12,208
15/02/2012,13,230
15/02/2012,14,231
15/02/2012,15,239
15/02/2012,16,280
15/02/2012,17,361
15/02/2012,18,319
15/02/2012,19,206
15/02/2012,20,125
15/02/2012,21,104
15/02/2012,22,110
15/02/2012,23,92
16/02/2012,0,42
16/02/2012,1,37
16/02/2012,2,40
16/02/2012,3,24
16/02/2012,4,17
16/02/2012,5,13
16/02/2012,6,26
16/02/2012,7,113
16/02/2012,8,252
16/02/2012,9,196
16/02/2012,10,150
16/02/2012,11,224
16/02/2012,12,255
16/02/2012,13,215
16/02/2012,14,289
16/02/2012,15,325
16/02/2012,16,353
16/02/2012,17,399
16/02/2012,18,312
16/02/2012,19,188
16/02/2012,20,173
16/02/2012,21,111
16/02/2012,22,109
16/02/2012,23,99
17/02/2012,0,59
17/02/2012,1,47
17/02/2012,2,41
17/02/2012,3,36
17/02/2012,4,30
17/02/2012,5,27
17/02/2012,6,32
17/02/2012,7,107
17/02/2012,8,256
17/02/2012,9,231
17/02/2012,10,213
17/02/2012,11,250
17/02/2012,12,282
17/02/2012,13,326
17/02/2012,14,314
17/02/2012,15,374
17/02/2012,16,424
17/02/2012,17,422
17/02/2012,18,301
17/02/2012,19,235
17/02/2012,20,185
17/02/2012,21,144
17/02/2012,22,152
17/02/2012,23,126
18/02/2012,0,160
18/02/2012,1,144
18/02/2012,2,106
18/02/2012,3,96
18/02/2012,4,62
18/02/2012,5,21
18/02/2012,6,19
18/02/2012,7,37
18/02/2012,8,72
18/02/2012,9,129
18/02/2012,10,286
18/02/2012,11,402
18/02/2012,12,489
18/02/2012,13,402
18/02/2012,14,194
18/02/2012,15,123
18/02/2012,16,127
18/02/2012,17,207
18/02/2012,18,164
18/02/2012,19,126
18/02/2012,20,128
18/02/2012,21,78
18/02/2012,22,104
18/02/2012,23,102
19/02/2012,0,99
19/02/2012,1,131
