Date,Start hour,Member hires made through the app
29/06/2015,2,3
29/06/2015,3,1
29/06/2015,5,6
29/06/2015,6,20
29/06/2015,7,45
29/06/2015,8,118
29/06/2015,9,53
29/06/2015,10,28
29/06/2015,11,24
29/06/2015,12,42
29/06/2015,13,40
29/06/2015,14,44
29/06/2015,15,31
29/06/2015,16,52
29/06/2015,17,134
29/06/2015,18,133
29/06/2015,19,75
29/06/2015,20,56
29/06/2015,21,24
29/06/2015,22,24
29/06/2015,23,10
30/06/2015,0,11
30/06/2015,1,3
30/06/2015,2,1
30/06/2015,3,2
30/06/2015,5,4
30/06/2015,6,21
30/06/2015,7,71
30/06/2015,8,146
30/06/2015,9,76
30/06/2015,10,31
30/06/2015,11,27
30/06/2015,12,38
30/06/2015,13,43
30/06/2015,14,37
30/06/2015,15,49
30/06/2015,16,62
30/06/2015,17,135
30/06/2015,18,131
30/06/2015,19,88
30/06/2015,20,47
30/06/2015,21,35
30/06/2015,22,27
30/06/2015,23,21
01/07/2015,0,9
01/07/2015,1,4
01/07/2015,2,3
01/07/2015,3,2
01/07/2015,5,3
01/07/2015,6,20
01/07/2015,7,86
01/07/2015,8,149
01/07/2015,9,83
01/07/2015,10,26
01/07/2015,11,30
01/07/2015,12,41
01/07/2015,13,39
01/07/2015,14,32
01/07/2015,15,43
01/07/2015,16,52
01/07/2015,17,122
01/07/2015,18,122
01/07/2015,19,82
01/07/2015,20,47
01/07/2015,21,41
01/07/2015,22,36
01/07/2015,23,14
02/07/2015,3,2
02/07/2015,5,2
02/07/2015,6,23
02/07/2015,7,68
02/07/2015,8,143
02/07/2015,9,81
02/07/2015,10,49
02/07/2015,11,23
02/07/2015,12,42
02/07/2015,13,43
02/07/2015,14,34
02/07/2015,15,34
02/07/2015,16,53
02/07/2015,17,106
02/07/2015,18,129
02/07/2015,19,68
02/07/2015,20,44
02/07/2015,21,36
02/07/2015,22,32
02/07/2015,23,13
03/07/2015,3,3
03/07/2015,4,3
03/07/2015,5,3
03/07/2015,6,22
03/07/2015,7,54
03/07/2015,8,151
03/07/2015,9,90
03/07/2015,10,31
03/07/2015,11,30
03/07/2015,12,45
03/07/2015,13,47
03/07/2015,14,40
03/07/2015,15,53
03/07/2015,16,66
03/07/2015,17,133
03/07/2015,18,103
03/07/2015,19,65
03/07/2015,20,35
03/07/2015,21,19
03/07/2015,22,20
03/07/2015,23,16
04/07/2015,0,5
04/07/2015,1,6
04/07/2015,2,5
04/07/2015,3,2
04/07/2015,4,3
04/07/2015,5,1
04/07/2015,6,3
04/07/2015,7,9
04/07/2015,8,15
04/07/2015,9,28
04/07/2015,10,42
04/07/2015,11,55
04/07/2015,12,61
04/07/2015,13,62
04/07/2015,14,58
04/07/2015,15,63
04/07/2015,16,59
04/07/2015,17,69
04/07/2015,18,53
04/07/2015,19,41
04/07/2015,20,37
04/07/2015,21,34
04/07/2015,22,22
04/07/2015,23,17
05/07/2015,0,15
05/07/2015,1,13
05/07/2015,2,7
05/07/2015,3,2
05/07/2015,6,4
05/07/2015,7,9
05/07/2015,8,4
05/07/2015,9,9
05/07/2015,10,13
05/07/2015,11,26
05/07/2015,12,41
05/07/2015,13,41
05/07/2015,14,73
05/07/2015,15,66
05/07/2015,16,54
05/07/2015,17,59
05/07/2015,18,49
05/07/2015,19,28
05/07/2015,20,26
05/07/2015,21,22
05/07/2015,22,16
05/07/2015,23,7
06/07/2015,0,5
06/07/2015,4,1
06/07/2015,5,5
06/07/2015,6,29
06/07/2015,7,72
06/07/2015,8,153
06/07/2015,9,80
06/07/2015,10,31
06/07/2015,11,23
06/07/2015,12,46
06/07/2015,13,47
06/07/2015,14,44
06/07/2015,15,50
06/07/2015,16,53
06/07/2015,17,139
06/07/2015,18,152
06/07/2015,19,89
06/07/2015,20,52
06/07/2015,21,34
06/07/2015,22,19
06/07/2015,23,8
07/07/2015,0,5
07/07/2015,1,1
07/07/2015,2,2
07/07/2015,3,2
07/07/2015,5,1
07/07/2015,6,20
07/07/2015,7,74
07/07/2015,8,190
07/07/2015,9,68
07/07/2015,10,38
07/07/2015,11,26
07/07/2015,12,42
07/07/2015,13,37
07/07/2015,14,32
07/07/2015,15,49
07/07/2015,16,60
07/07/2015,17,148
07/07/2015,18,152
07/07/2015,19,85
07/07/2015,20,56
07/07/2015,21,32
07/07/2015,22,28
07/07/2015,23,13
08/07/2015,0,3
08/07/2015,1,3
08/07/2015,2,2
08/07/2015,5,1
08/07/2015,6,20
08/07/2015,7,77
08/07/2015,8,175
08/07/2015,9,82
08/07/2015,10,25
08/07/2015,11,39
08/07/2015,12,42
08/07/2015,13,35
08/07/2015,14,41
08/07/2015,15,47
08/07/2015,16,87
08/07/2015,17,201
08/07/2015,18,142
