Date,Start hour,Annual member hires using a key
25/01/2012,23,61
26/01/2012,0,29
26/01/2012,1,15
26/01/2012,2,5
26/01/2012,3,3
26/01/2012,4,5
26/01/2012,5,9
26/01/2012,6,108
26/01/2012,7,464
26/01/2012,8,1007
26/01/2012,9,453
26/01/2012,10,175
26/01/2012,11,164
26/01/2012,12,243
26/01/2012,13,240
26/01/2012,14,207
26/01/2012,15,198
26/01/2012,16,328
26/01/2012,17,796
26/01/2012,18,629
26/01/2012,19,318
26/01/2012,20,174
26/01/2012,21,106
26/01/2012,22,93
26/01/2012,23,58
27/01/2012,0,29
27/01/2012,1,8
27/01/2012,2,5
27/01/2012,3,1
27/01/2012,4,1
27/01/2012,5,18
27/01/2012,6,131
27/01/2012,7,544
27/01/2012,8,1028
27/01/2012,9,479
27/01/2012,10,188
27/01/2012,11,146
27/01/2012,12,285
27/01/2012,13,245
27/01/2012,14,230
27/01/2012,15,234
27/01/2012,16,367
27/01/2012,17,747
27/01/2012,18,586
27/01/2012,19,275
27/01/2012,20,159
27/01/2012,21,102
27/01/2012,22,72
27/01/2012,23,67
28/01/2012,0,47
28/01/2012,1,35
28/01/2012,2,21
28/01/2012,3,15
28/01/2012,4,2
28/01/2012,5,8
28/01/2012,6,15
28/01/2012,7,37
28/01/2012,8,65
28/01/2012,9,120
28/01/2012,10,164
28/01/2012,11,213
28/01/2012,12,234
28/01/2012,13,221
28/01/2012,14,210
28/01/2012,15,196
28/01/2012,16,203
28/01/2012,17,167
28/01/2012,18,130
28/01/2012,19,113
28/01/2012,20,96
28/01/2012,21,53
28/01/2012,22,38
28/01/2012,23,48
29/01/2012,0,38
29/01/2012,1,30
29/01/2012,2,26
29/01/2012,3,15
29/01/2012,4,6
29/01/2012,5,5
29/01/2012,6,6
29/01/2012,7,16
29/01/2012,8,36
29/01/2012,9,90
29/01/2012,10,129
29/01/2012,11,174
29/01/2012,12,193
29/01/2012,13,195
29/01/2012,14,153
29/01/2012,15,185
29/01/2012,16,169
29/01/2012,17,153
29/01/2012,18,126
29/01/2012,19,77
29/01/2012,20,45
29/01/2012,21,44
29/01/2012,22,32
29/01/2012,23,30
30/01/2012,0,8
30/01/2012,1,5
30/01/2012,2,3
30/01/2012,3,2
30/01/2012,4,1
30/01/2012,5,11
30/01/2012,6,156
30/01/2012,7,602
30/01/2012,8,1054
30/01/2012,9,414
30/01/2012,10,152
30/01/2012,11,124
30/01/2012,12,196
30/01/2012,13,200
30/01/2012,14,166
30/01/2012,15,168
30/01/2012,16,362
30/01/2012,17,838
30/01/2012,18,717
30/01/2012,19,325
30/01/2012,20,154
30/01/2012,21,91
30/01/2012,22,66
30/01/2012,23,31
31/01/2012,0,21
