Ozone,NO,NO2,NOX,SO2,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
44,37,77,133,6,22,16,7,,,
37,28,52,94,6,17,11,7,,,
38,88,78,211,9,35,28,8,,,
17,85,79,207,10,44,42,10,,,
26,40,57,120,9,58,50,10,,,
26,89,120,229,,26,16,11,,,
22,95,107,238,6,27,24,3,,,
63,74,87,202,6,28,24,7,,,
51,92,78,216,10,50,40,13,,,
18,120,85,257,11,53,39,14,,,
8,480,168,904,28,68,57,13,,,
27,61,68,161,6,44,32,14,,,
34,50,72,150,3,24,18,8,,,
51,51,67,146,4,22,18,5,,,
44,47,67,130,3,33,30,6,,,
46,37,64,120,3,25,20,6,,,
50,70,70,178,4,26,22,4,,,
,,,,,53,44,10,,,
,73,116,212,7,28,22,7,,,
40,102,116,266,5,28,22,10,,,
45,121,104,289,6,24,18,7,,,
57,85,118,234,6,26,20,12,,,
47,169,134,394,8,39,32,9,,,
28,138,130,335,9,50,37,23,,,
51,359,157,709,19,66,53,14,,,
5,214,127,454,13,62,47,17,,,
2,202,126,434,9,61,47,16,,,
1,179,98,356,8,52,38,15,,,
11,99,71,217,6,39,27,13,,,
47,30,62,105,3,18,14,6,,,
66,48,71,144,4,14,11,5,,,
66,71,98,206,5,21,17,5,,,
24,104,105,258,12,33,30,6,,,
35,108,110,265,25,27,22,8,,,
57,18,70,98,4,33,38,7,,,
72,13,61,82,4,19,14,6,,,
67,53,100,179,5,22,16,8,,,
38,212,129,453,13,34,26,8,,,
48,88,115,237,8,56,45,14,,,
34,126,89,278,8,61,50,15,,,
27,104,107,266,8,37,28,11,,,
20,67,92,187,8,50,38,14,,,
36,53,80,161,4,37,30,12,,,
48,32,76,124,4,34,25,9,,,
63,56,84,169,5,31,28,6,,,
62,54,93,165,6,31,28,7,,,
42,56,97,180,8,39,29,10,,,
45,105,103,265,9,42,30,11,,,
65,27,83,125,5,24,19,6,,,
68,40,89,137,5,23,20,5,,,
68,25,83,114,4,21,17,4,,,
79,22,65,99,3,32,26,7,,,
69,67,98,201,3,20,16,6,,,
60,62,87,182,4,31,26,7,,,
58,54,92,170,3,40,35,8,,,
68,58,87,173,3,23,22,6,,,
68,49,97,167,3,24,19,7,,,
93,26,104,145,5,73,70,14,,,
59,57,92,180,8,82,70,15,,,
32,126,92,282,9,56,43,15,,,
41,102,89,245,8,69,54,18,,,
48,116,114,285,8,47,35,14,,,
53,38,89,130,5,19,16,8,,,
65,18,67,95,3,48,46,6,,,
90,5,20,25,3,24,18,8,,,
96,8,45,48,4,22,19,7,,,
74,9,40,51,4,24,21,6,,,
72,9,43,55,4,42,36,7,,,
86,8,44,57,4,19,18,4,,,
63,88,88,220,5,21,20,3,,,
66,37,76,122,3,19,17,6,,,
86,44,83,150,5,21,20,6,,,
69,13,39,59,5,24,20,7,,,
54,65,111,177,6,23,22,7,,,
35,36,80,125,3,24,18,8,,,
90,40,77,136,4,33,21,12,,,
58,67,81,181,7,27,21,8,,,
62,44,76,143,5,18,17,5,,,
73,23,71,106,4,20,15,7,,,
60,53,103,157,6,14,14,5,,,
43,62,75,170,8,17,16,5,,,
58,68,82,185,6,33,29,9,,,
68,78,94,214,7,20,19,5,,,
70,92,110,250,10,30,29,8,,,
76,11,61,74,,27,30,10,,,
58,13,69,85,,22,23,5,,,
81,54,60,142,,36,31,6,,,
43,99,126,245,,55,41,15,,,
62,24,97,131,,57,40,18,,,
69,6,26,34,,22,16,11,13,9,6
69,10,43,55,3,21,19,5,16,14,3
74,30,58,98,3,13,12,6,9,6,4
64,17,50,75,2,30,29,5,12,9,3
76,11,56,64,3,16,15,8,12,10,3
80,13,65,85,4,17,12,8,12,8,5
78,34,71,118,3,20,22,6,10,10,3
70,63,110,196,5,24,22,6,19,16,4
52,51,91,168,4,19,15,6,18,15,5
50,74,86,195,6,29,23,7,27,22,10
52,50,107,167,4,36,31,9,38,30,10
44,71,85,185,4,37,31,9,41,36,10
62,59,81,167,4,27,20,9,25,20,6
54,77,91,203,4,29,23,9,24,19,5
51,78,88,208,6,15,15,6,9,9,4
30,60,94,176,4,16,14,5,11,12,3
41,52,109,189,3,24,21,5,20,19,4
90,35,86,119,6,24,19,6,20,18,4
