Ozone,NO,NO2,NOX,SO2,CO,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
48,5,30,38,1,0.12,14,9,5,8,5,3
53,3,29,34,1,0.21,26,21,5,22,19,3
58,2,23,26,2,0.15,18,13,5,11,8,3
49,4,26,32,2,0.21,24,19,5,17,14,3
29,10,34,49,2,0.28,45,36,9,37,31,7
38,5,34,42,2,0.2,,,,16,10,5
41,7,39,50,2,0.2,24,20,4,14,11,3
52,5,32,39,2,0.18,21,16,5,11,9,3
53,12,37,56,4,0.22,21,17,5,13,10,3
29,69,67,173,4,0.54,,,,28,21,7
20,30,63,109,4,0.4,48,35,14,39,27,11
17,62,78,173,4,0.54,52,38,13,41,31,11
4,52,84,164,1,0.56,64,48,15,53,40,13
2,79,82,203,4,0.64,64,46,18,55,40,15
1,48,57,131,3,0.53,41,27,13,35,25,10
13,9,31,45,2,0.33,30,20,10,27,18,9
56,2,20,24,2,0.18,14,10,5,10,6,3
69,3,19,24,2,0.12,11,8,3,5,3,2
63,4,24,30,2,0.14,12,10,2,7,6,1
41,5,40,48,3,0.2,15,11,4,10,7,3
29,11,52,69,5,0.24,21,15,7,16,11,5
59,2,27,30,1,0.21,14,10,5,7,5,3
74,1,17,18,1,0.21,12,8,4,6,4,2
53,2,34,37,2,0.24,11,8,3,6,4,2
11,50,81,157,4,0.44,25,19,6,22,16,5
19,19,63,92,1,0.33,34,25,10,29,20,8
26,11,44,61,1,0.3,43,32,11,38,28,9
31,11,64,81,2,0.3,32,24,8,24,18,6
28,11,56,74,3,0.37,51,37,15,43,29,14
39,7,44,55,2,0.34,34,25,9,31,22,9
55,3,34,40,2,0.25,30,23,7,23,17,6
65,4,34,40,2,0.24,32,27,5,21,17,5
64,5,39,45,2,0.23,32,25,7,23,17,6
56,5,43,52,2,0.23,,,,26,20,7
65,5,38,46,2,0.23,30,25,4,26,19,7
77,3,32,36,2,0.21,18,16,2,14,11,2
77,3,30,34,1,0.24,18,16,2,15,13,2
73,3,35,40,2,0.23,16,14,2,12,10,2
77,3,28,33,2,0.17,21,18,4,19,15,4
77,4,27,33,1,0.11,13,11,2,9,6,2
76,3,25,31,1,0.12,20,16,3,14,11,3
70,3,29,34,1,0.15,22,18,4,17,13,4
76,3,25,30,1,0.13,18,15,2,12,9,2
68,4,38,44,0,0.16,19,16,3,13,10,3
55,5,58,66,1,0.25,28,21,7,25,16,8
51,9,55,68,3,0.22,37,27,10,32,20,12
26,15,61,84,2,0.31,37,28,9,34,24,11
34,9,46,60,2,0.29,51,36,15,52,34,17
38,11,53,70,2,0.3,24,16,8,20,12,8
46,4,46,51,1,0.26,13,10,4,8,6,2
54,2,31,34,0,0.19,13,9,4,8,5,2
77,1,16,18,1,0.15,14,11,3,7,6,2
78,2,23,25,1,0.15,21,19,2,11,10,2
71,2,22,24,1,0.14,,,,10,9,1
64,2,22,25,1,0.16,,,,10,7,3
83,2,18,21,1,0.11,,,,7,7,1
53,4,36,43,0,0.15,,,,8,8,0
41,7,50,61,1,0.16,,,,10,8,2
57,4,36,43,2,0.14,,,,13,10,3
59,2,25,29,2,0.15,,,,13,9,3
42,4,31,37,1,0.17,,,,12,10,2
17,6,37,47,2,0.2,,,,13,10,3
42,6,30,39,2,0.19,,,,19,13,6
56,3,29,34,2,0.13,,,,9,5,3
60,3,28,31,1,0.13,,,,9,7,2
56,4,30,36,2,0.13,,,,10,7,4
56,5,30,38,1,0.13,,,,8,7,1
50,5,32,39,1,0.13,,,,10,9,1
49,6,36,45,1,0.14,,,,12,9,3
48,6,47,55,2,0.12,,,,10,8,2
44,25,53,91,3,0.22,,,,14,11,3
67,1,16,18,1,0.11,,,,5,4,1
54,2,23,25,1,0.16,,,,9,8,2
51,4,31,37,3,0.2,,,,14,11,3
32,28,82,124,4,0.31,,,,22,17,5
40,3,41,46,3,0.2,,,,20,12,7
68,1,15,17,2,0.13,,,,6,4,2
67,1,16,18,2,0.14,,,,7,6,1
66,1,18,20,1,0.14,,,,4,3,1
52,1,17,19,1,0.14,,,,6,5,1
69,2,16,18,2,0.12,,,,6,4,2
62,3,25,29,2,0.16,,,,8,5,3
62,3,23,27,3,0.16,,,,6,5,0
41,11,48,64,3,0.22,,,,13,10,2
53,5,39,47,2,0.17,,,,13,10,3
51,4,34,40,2,0.18,,,,14,10,4
47,5,42,50,2,0.24,,,,26,19,7
,4,35,41,2,0.24,,,,27,20,7
,4,27,33,1,0.17,,,,16,12,4
,3,25,30,1,0.14,,,,,,
,3,22,26,1,0.11,,,,4,4,1
,5,28,36,2,0.15,,,,,,
57,8,28,40,,0.16,,,,,,
64,9,31,44,,0.17,,,,,,
87,1,18,20,,0.13,,,,,,
48,6,45,54,,0.24,,,,,,
33,5,36,44,,0.22,,,,,,
50,3,27,32,,0.2,,,,15,12,3
75,2,27,30,,0.22,,,,20,16,4
49,3,20,24,2,0.15,,,,8,6,2
57,2,22,25,1,0.14,,,,10,8,2
47,6,36,45,1,0.15,,,,9,7,2
55,4,18,24,1,0.11,,,,7,4,2
46,5,26,33,1,0.16,,,,12,9,3
52,5,19,27,1,0.15,,,,11,8,3
44,5,23,31,1,0.15,,,,10,7,2
52,3,8,12,1,0.12,,,,8,6,2
42,3,10,13,1,0.11,,,,6,4,2
45,5,28,35,2,0.15,,,,10,7,2
45,5,27,35,2,0.24,,,,12,9,3
36,2,12,15,2,0.2,,,,6,4,2
45,2,12,15,2,0.15,,,,7,6,1
45,3,15,21,1,0.17,,,,8,6,2
53,2,8,11,2,0.17,,,,7,6,1
48,3,15,19,2,0.17,,,,9,7,1
44,8,32,44,3,0.2,,,,12,10,2
27,13,38,58,3,0.3,,,,24,19,5
41,14,43,64,2,0.35,,,,28,24,5
42,7,44,55,3,0.32,,,,37,29,8
40,3,27,32,2,0.25,,,,15,12,3
50,1,13,15,2,0.18,,,,7,4,2
45,1,11,12,1,0.16,,,,5,4,1
37,3,24,28,1,0.15,,,,6,6,0
33,13,37,57,1,0.19,,,,10,9,1
36,15,37,61,2,0.24,,,,13,12,2
