Ozone,NO,NO2,NOX,SO2,CO,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
69,14,58,73,4,0.27,,,,40,31,10
83,19,57,83,3,0.33,42,36,7,41,31,12
92,5,58,64,2,0.3,22,20,5,19,16,5
89,6,59,66,2,0.33,25,23,4,24,22,5
93,8,64,77,2,0.27,20,18,4,16,14,5
101,5,41,48,2,0.25,34,31,7,35,28,8
91,10,44,59,3,0.18,18,15,4,12,10,6
86,7,39,50,4,0.18,28,26,6,21,21,6
93,8,43,54,1,0.21,36,32,6,32,27,7
93,7,36,43,1,0.15,23,20,4,17,14,6
102,8,103,112,1,0.31,27,26,6,26,22,7
103,21,100,123,2,0.38,37,30,12,33,26,12
76,23,75,106,6,0.26,44,34,15,40,29,18
52,56,86,164,4,0.55,59,47,14,62,46,18
60,39,72,129,3,0.38,76,63,20,79,59,22
60,48,98,172,4,0.49,39,30,17,35,24,13
67,12,92,111,2,0.4,23,19,8,18,16,6
81,13,64,84,1,0.22,21,20,7,15,12,5
98,3,31,32,3,0.16,20,18,5,12,9,4
103,5,36,43,2,0.19,27,23,6,14,13,3
92,5,39,40,3,0.19,,,,14,12,3
86,6,44,53,3,0.25,,,,15,12,4
94,5,31,33,2,0.16,,,,15,12,3
75,10,90,105,1,0.24,,,,15,13,3
73,17,84,110,1,0.26,,,,14,12,5
90,27,80,117,4,0.29,,,,22,16,6
80,8,49,61,3,0.19,,,,19,16,7
73,13,66,74,2,0.24,,,,17,15,5
40,16,71,83,2,0.28,,,,21,18,5
109,23,47,74,3,0.25,,,,26,20,10
81,13,66,73,4,0.24,,,,17,12,7
86,5,49,50,2,0.23,,,,16,12,4
86,29,72,109,3,0.28,,,,19,14,8
76,33,97,141,2,0.28,,,,14,12,3
70,13,51,72,3,0.18,,,,15,14,3
83,22,73,84,2,0.23,,,,21,18,6
91,15,101,118,2,0.25,,,,35,32,5
88,97,105,251,6,0.44,,,,29,22,7
92,3,28,28,2,0.17,,,,10,8,4
66,6,38,48,4,0.22,,,,16,13,3
99,17,51,78,5,0.26,,,,21,18,4
70,100,129,267,9,0.53,,,,53,39,15
66,11,112,121,5,0.3,,,,62,44,20
79,4,26,32,2,0.19,,,,11,7,4
82,3,26,29,2,0.17,,,,13,13,4
83,3,39,39,2,0.19,,,,8,7,3
75,3,29,30,2,0.19,,,,13,9,4
85,4,31,32,2,0.15,,,,14,10,4
92,7,53,60,3,0.25,,,,12,7,6
85,6,49,52,3,0.34,,,,10,9,4
86,51,80,140,4,0.42,,,,19,18,5
71,14,55,76,2,0.22,,,,20,18,6
77,13,88,108,3,0.35,,,,31,25,9
93,17,89,111,2,0.43,,,,41,30,11
,11,48,64,2,0.28,,,,47,40,11
,7,51,56,2,0.23,,,,28,22,8
,11,52,66,1,0.26,,,,,,
,6,50,55,2,0.2,,,,9,6,3
,15,39,62,3,0.21,,,,,,
83,67,96,198,,0.54,,,,,,
110,56,86,171,,0.52,,,,,,
115,2,41,41,,0.19,,,,,,
85,27,86,127,,0.34,,,,,,
51,23,51,82,,0.3,,,,,,
74,7,47,54,,0.24,,,,24,20,6
101,6,59,61,,0.32,,,,30,25,7
72,8,30,35,3,0.26,,,,14,12,5
94,5,63,66,3,0.23,,,,17,13,4
68,15,66,72,2,0.23,,,,18,16,6
77,10,26,41,2,0.17,,,,13,7,6
74,10,57,65,3,0.23,,,,17,14,4
83,15,41,55,3,0.23,,,,13,12,5
58,21,46,78,2,0.28,,,,14,11,3
69,6,12,18,1,0.14,,,,12,9,4
59,5,24,30,2,0.15,,,,12,9,4
73,10,47,57,2,0.21,,,,14,12,4
69,29,66,111,4,0.34,,,,24,20,6
51,5,21,29,3,0.27,,,,11,9,5
57,5,24,27,2,0.19,,,,12,9,3
65,9,29,43,2,0.22,,,,12,10,5
64,4,14,20,2,0.24,,,,12,11,4
71,18,71,92,3,0.3,,,,15,12,4
78,25,58,91,5,0.29,,,,16,13,3
57,42,67,131,4,0.48,,,,38,32,6
91,56,54,134,4,0.48,,,,47,40,10
70,32,81,126,5,0.42,,,,52,42,13
59,11,37,53,3,0.31,,,,25,21,5
63,3,17,20,3,0.27,,,,11,9,5
54,2,25,27,2,0.19,,,,8,9,2
59,7,53,64,1,0.24,,,,11,9,3
66,102,79,235,5,0.53,,,,17,17,4
75,61,76,154,3,0.41,,,,22,18,4
66,12,36,53,2,0.24,,,,15,13,5
28,16,29,51,2,0.28,,,,12,10,6
81,3,35,36,3,0.25,,,,10,10,3
51,6,35,36,3,0.25,,,,14,14,5
66,5,55,55,2,0.19,,,,18,16,3
58,13,41,59,4,0.23,,,,16,14,3
40,13,47,53,3,0.21,,,,9,9,3
54,11,29,37,2,0.21,,,,12,12,3
70,48,56,125,4,0.27,,,,18,17,4
129,24,99,117,7,0.43,,,,55,46,9
134,12,94,113,4,0.38,,,,57,44,17
107,8,32,45,2,0.22,,,,19,16,6
